K H I H	1042 0 1008
A U E	422 695 968 0 391 999
F T V E	422 695 968 0 391 999
N N Y P	1032 0 975 1090
K A K	1058 0 1037
T N I	965 0 934
D W Q I	362 969 0 331 1000
H T U	595 0 563
K U M F	1046 0 1015
A T H	912 0 879
S F W I	965 0 934
N I C G	835 888 941 0 786 990
I L M P	1057 0 1025
U P S O	962 0 931
P K E	983 0 932 1080
L U I U	345 0 314
V T S	912 0 881
A E S S	422 669 916 0 391 947
N G W	936 0 905
T M C	818 922 1025 0 784 1059
Q G G P	1057 0 1025
I W I	965 0 934
M N Q E	422 695 968 0 391 999
L T T U	345 0 314
Y H E G	594 778 961 0 562 985
D Y C O	362 566 824 0 331 858
Q O Y M	963 0 891 1035
Q P W I	965 0 934
R A M	1243 0 1210
K F V F	1046 0 1015
E L C	422 605 821 0 391 854
R C C	828 930 1028 0 806 1063
R N L	1243 0 1210
N P F G	957 0 926
I F T L	957 0 926
U R M	1243 0 1210
M Q R G	1243 0 1210
R C F	906 1096 1248 0 877 1280
C K O	979 0 930 1079
R L C E	830 891 953 0 783 1000
P H Y N	887 0 844 1034
W U U N	877 0 846
Y G F	959 0 883 1035
N O V	959 0 928
Q T D D	371 0 314 409
F M H D	595 795 961 0 563 992
H F H Q	906 0 872
F I H	912 0 879
A W V	959 0 928
L O U S	912 0 881
D I T N	362 622 881 0 331 912
E M H N	595 757 880 0 562 912
D L S K	896 0 859 1082
W C C Q	824 0 767 859
Y I Q Q	959 0 883 1035
S L N	877 0 846
I A E V	422 693 963 0 391 994
E V N O	422 694 966 0 391 997
V V Q L	957 0 926
L M C	818 922 1025 0 784 1059
S K D	975 0 925 1079
N N I L	957 0 926
P P U N	877 0 846
O C W W	0 787 968
I Y V	983 0 928 1038
F E V	422 693 963 0 391 994
U E F M	422 672 922 0 391 953
N U C	818 922 1025 0 784 1059
R I I	1243 0 1210
S U	345 0 314
K C I I	982 0 933 1080
M F G Y	958 0 881 1035
S U P U	345 0 314
E W S	422 669 916 0 391 947
D T K I	984 0 933 1080
C F I Q	864 0 788 941
N D A Y	362 622 916 0 331 945
U H W L	955 0 922
O L L N	877 0 846
D S H	595 774 917 0 563 949
I R	1243 0 1210
P O W	936 0 905
Y C Q	901 0 790 945
W T U P	1057 0 1025
U U T C	818 922 1025 0 784 1059
T N P P	1057 0 1025
V S E	422 695 968 0 391 999
A N D	362 961 0 331 992
U P R	1243 0 1210
O O N G	957 0 926
C U H F	833 0 783 939
R W M A	1243 0 1210
D I V H	595 774 917 0 563 949
O C I S	865 0 788 943
L T R C	1024 1159 1243 0 990 1279
D L I	362 969 0 331 1000
Y M U	345 1008 0 314 1039
S F M U	345 0 314
G W C F	864 0 788 941
D Y W L	362 962 0 331 985
S H E	594 798 968 0 562 999
W Y V	983 0 928 1038
C S K L	973 0 924 1079
M K M Q	1046 0 1015
G F C C	824 0 767 862
P Y Q	959 0 883 1035
W E K	896 0 859 1082
W L N H	912 0 879
L V Y Y	989 0 884 1017
V I N	877 0 846
M G D R	899 1091 1248 0 866 1280
A R U T	1243 0 1210
D Q U	356 0 308 403
L N O	962 0 931
P H G	955 0 922
C A W	0 787 968
O P S Q	910 0 879
H I E	594 798 968 0 562 999
V K Y M	1014 0 973 1087
O K L	1046 0 1017
K D Y	979 0 878 1030
R A R D	1236 0 1200 1302
P N M S	912 0 881
C C W O	824 0 767 861
O W Q	910 0 879
S N G O	962 0 931
S W I	965 0 934
S N P E	422 695 968 0 391 999
I C K	893 0 862 1082
G V R	1243 0 1210
T R V	1243 0 1210
C V M	868 0 788 949
P D W	362 940 0 331 971
D M K H	917 0 878 1079
U W F	910 0 879
M L W	936 0 905
Q P H K	1045 0 1011
I K D O	981 0 930 1079
C I P T	863 0 788 938
H V S D	595 795 961 0 563 992
P M H O	960 0 927
W R H V	1241 0 1207
Q H D O	595 797 966 0 563 997
D T T V	362 963 0 331 994
L T S G	957 0 926
T O P	1057 0 1025
C H A U	596 731 813 0 563 849
R A G	1243 0 1210
R D K	1047 1199 1228 0 1012 1278
L F E W	422 681 940 0 391 971
U Q W Y	958 0 881 1035
I Y F	959 0 883 1035
H L E	594 798 968 0 562 999
A M F	910 0 879
Q R N	1243 0 1210
W I S	912 0 881
O N A D	362 961 0 331 992
D S V	362 963 0 331 994
F K R	1240 0 1207
O S C Q	864 0 788 941
P Q F A	966 0 935
Y C H E	598 695 822 0 563 857
A A L	957 0 926
V T F K	1047 0 1015
P A S K	1047 0 1015
G Q N	877 0 846
N V O K	1047 0 1015
Y I E	422 680 967 0 391 990
M F I	965 0 934
A A K	1047 0 1015
O R V	1243 0 1210
G T U	345 0 314
P T D S	362 639 916 0 331 947
F C I H	832 0 783 943
U E N O	422 694 966 0 391 997
U V W A	966 0 935
R V C	1024 1159 1243 0 990 1279
W A M	918 0 887
W G U A	966 0 935
L V F	910 0 879
T G F H	912 0 879
F R I	1243 0 1210
U D R	899 1091 1248 0 866 1280
S T Q	910 0 879
E V K O	981 0 930 1079
Q D Q	362 638 914 0 331 945
F U S	912 0 881
D S C Y	362 566 825 0 331 855
U T R G	1243 0 1210
V V N	877 0 846
T E V	422 693 963 0 391 994
D R W U	368 1249 0 347 1280
P S N	877 0 846
V A V	959 0 928
I I Y U	345 1008 0 314 1039
U C O	832 890 948 0 786 995
W H Y	926 0 876 1033
U T E	422 695 968 0 391 999
N R G S	1243 0 1210
N A L Q	910 0 879
O R E F	908 1096 1248 0 875 1280
O U U	345 0 314
P C L	835 888 941 0 786 990
T H G	955 0 922
D Q F T	362 637 911 0 331 942
K E V U	418 1054 0 391 1085
S P Q O	962 0 931
L F I Q	910 0 879
T L I	965 0 934
Y H I N	887 0 844 1034
H I L U	595 0 563
G V A F	910 0 879
K M K M	1058 0 1037
V D O U	356 0 308 403
S F	910 0 879
P S Q G	957 0 926
E D M Y	417 0 330 462
O N K U	1048 0 1015
D Y L F	362 623 918 0 331 947
I H L	955 0 922
D O H	595 774 917 0 563 949
W M H C	814 946 1022 0 781 1059
W Y L M	963 0 891 1035
G A S P	1057 0 1025
V D Y C	362 566 823 0 331 857
P O C	818 922 1025 0 784 1059
S U R R	1253 0 1232
W L G	957 0 926
V C V M	868 0 788 949
H V K I	1044 0 1015
R R F	1253 0 1232
E D I A	410 0 333 458
D G M R	899 1091 1248 0 866 1280
I F S U	345 0 314
T L T	907 0 876
C V C K	844 0 805 925
V T P	1057 0 1025
C P T I	831 892 953 0 786 998
O M S Q	910 0 879
D F V V	362 963 0 331 994
U N G K	1047 0 1015
P N A	966 0 935
F G K	1047 0 1015
K V Y	1014 0 972 1087
M N T K	1047 0 1015
A R S N	1243 0 1210
P C Q T	863 0 788 938
M P H V	957 0 924
I C P	816 938 1059 0 784 1092
N U K N	1047 0 1015
L A U	345 0 314
M Q H M	916 0 883
T P H	912 0 879
M U H	912 0 879
P L N	877 0 846
C E V	422 605 822 0 391 854
D L L	362 961 0 331 992
W P D D	371 0 314 409
W G V K	1047 0 1015
H I D	595 795 961 0 563 992
P L V Y	958 0 881 1035
P W V L	957 0 926
S U I V	959 0 928
G S Q W	936 0 905
C G V	834 889 944 0 786 992
Y E W	422 666 943 0 391 969
R I M	1243 0 1210
P K T I	1046 0 1018
R R G	1253 0 1232
O D C	362 575 821 0 331 854
K L C	1030 0 988 1093
V S R	1243 0 1210
I M F H	912 0 879
R W H	1241 0 1207
U L M M	918 0 887
P L W	936 0 905
D F P	362 1061 0 331 1092
D U O	362 966 0 331 997
S C P	816 938 1059 0 784 1092
G S Q	910 0 879
T D C	362 575 821 0 331 854
A C L	835 888 941 0 786 990
I F H S	910 0 877
I W S O	962 0 931
C K D D	373 582 824 0 353 857
I M N	877 0 846
D E E D	380 0 305 407
D O M H	595 774 917 0 563 949
A R P V	1243 0 1210
M U M F	910 0 879
V S S	912 0 881
P S R	1243 0 1210
T Y O V	983 0 928 1038
U A E W	422 681 940 0 391 971
Q O W	936 0 905
D U S	362 639 916 0 331 947
P Q W	936 0 905
C E Y U	416 0 317 461
W D I V	362 963 0 331 994
G P G A	966 0 935
L Y T	957 0 880 1035
U U F	910 0 879
Q S S L	957 0 926
U T I	965 0 934
V E O Q	422 668 914 0 391 945
A D T	362 637 911 0 331 942
D H G	595 795 961 0 563 992
G U E	422 695 968 0 391 999
S P S N	877 0 846
A P G	957 0 926
T E Y	422 652 916 0 391 945
W C T G	835 888 941 0 786 990
O I Y C	828 876 1001 0 785 1024
A C H	832 0 783 943
N S U	345 0 314
M F O	962 0 931
G Q L	957 0 926
C I D	362 575 822 0 331 854
W W W E	422 695 968 0 391 999
Y Y O	993 0 928 1021
W M W C	818 922 1025 0 784 1059
Y N C	828 876 1001 0 785 1024
U Q K I	1046 0 1018
S T H Y	926 0 876 1033
Q A V	959 0 928
E P W N	422 652 881 0 391 912
S I D	362 961 0 331 992
S Y F G	982 0 927 1038
I U W R	1243 0 1210
P K R M	1240 0 1207
E V V	422 693 963 0 391 994
U Q O	962 0 931
S V Y	958 0 881 1035
O W W P	1057 0 1025
E O G	422 692 961 0 391 992
F I F	910 0 879
T E G F	422 668 914 0 391 945
N K L	1046 0 1017
S C O H	832 0 783 943
S T U W	936 0 905
G A O	962 0 931
V W T L	957 0 926
P G A	966 0 935
V W R	1243 0 1210
Q Y D	362 962 0 331 985
P H H F	906 0 872
W G V I	965 0 934
M I T	907 0 876
E P D E	413 0 331 440
D O Q	362 638 914 0 331 945
D R Y	958 0 878 1038
I N K G	1046 0 1017
E W M N	422 652 881 0 391 912
Q A K L	1046 0 1017
M Y F O	985 0 931 1039
I M O	962 0 931
W E Y H	595 757 922 0 562 950
Y F G	982 0 927 1038
T L C M	868 0 788 949
M N R	1243 0 1210
N K G	1046 0 1017
Q W E K	896 0 859 1082
Y P E I	422 680 968 0 391 991
H V R	1241 0 1207
Y Q K	1015 0 971 1087
T Y K M	1014 0 973 1087
L S I T	907 0 876
U G Q Y	958 0 881 1035
E E Q V	431 0 374 469
F W Q M	918 0 887
N L D	362 961 0 331 992
G O	962 0 931
R D T T	905 1094 1248 0 872 1280
H A G M	916 0 883
R Y O	1004 1148 1245 0 981 1279
I S S O	962 0 931
D A T K	896 0 859 1082
A G P N	877 0 846
N N I	965 0 934
D R R N	1236 0 1200 1302
K N V	1046 0 1017
M N P V	959 0 928
F I C F	864 0 788 941
D M W Q	362 638 914 0 331 945
P Q M	918 0 887
U F V V	959 0 928
G P G	957 0 926
G N E M	422 672 922 0 391 953
G N D R	899 1091 1248 0 866 1280
G C H L	821 0 782 988
Q H L A	964 0 931
P R Y	1000 1147 1245 0 971 1279
O N Q R	1243 0 1210
Q S G	957 0 926
Q T S T	907 0 876
U K W	1046 0 1015
P F P N	877 0 846
D N I L	362 961 0 331 992
N R S R	1253 0 1232
I T C T	863 0 788 938
S T S	912 0 881
T R C	1024 1159 1243 0 990 1279
Q N V	959 0 928
O K V C	1030 0 988 1093
C K C	828 925 1023 0 806 1046
N S M	918 0 887
R V O	1243 0 1210
L P F Y	958 0 881 1035
U I L O	962 0 931
W I V L	957 0 926
D R N A	964 1125 1247 0 932 1280
L F I	965 0 934
I H S	910 0 877
G C K	893 0 862 1082
E V D	410 0 333 458
C V U I	831 892 953 0 786 998
C G O E	422 605 822 0 391 854
F S D O	362 966 0 331 997
Y E R M	963 0 888 1038
C C V	824 0 767 861
T I I Q	910 0 879
G I P	1057 0 1025
L L K	1047 0 1015
G K S	1046 0 1015
G W R	1243 0 1210
N G T A	966 0 935
N F M V	959 0 928
F I R K	1240 0 1207
V L N	877 0 846
C G W	0 787 968
K D N K	1041 0 1005 1107
C V U U	345 582 819 0 314 850
F E U K	896 0 859 1082
F L E	422 695 968 0 391 999
W F O	962 0 931
D H H	606 786 917 0 585 949
F Y N	913 942 972 0 849 1036
G A M	918 0 887
Y A K A	1014 0 981 1086
N M Q	910 0 879
G D K	896 0 859 1082
R N D E	420 695 970 0 395 1002
E G W G	422 692 961 0 391 992
V G P	1057 0 1025
S T L	957 0 926
G W N	877 0 846
V N Q	910 0 879
M H V	957 0 924
Q S Q G	957 0 926
L D E	410 0 333 458
O Y A A	987 0 934 1040
O W F C	818 922 1025 0 784 1059
P P W S	912 0 881
I F R P	1242 0 1210
I W U O	962 0 931
T O R	1243 0 1210
C G M L	835 888 941 0 786 990
V V F	910 0 879
U K M	1046 0 1015
S Y L	982 0 927 1038
H U I D	595 795 961 0 563 992
A U W U	345 0 314
A N H C	814 946 1022 0 781 1059
Q L G E	422 695 968 0 391 999
M V T M	918 0 887
A E N	422 652 881 0 391 912
Y P P	1032 0 975 1090
Q K M H	1044 0 1011
M N I	965 0 934
H V P O	960 0 927
S U G Y	958 0 881 1035
F U G	957 0 926
A P U	345 0 314
H S E G	594 795 961 0 562 992
K H A	1044 0 1015
T D Y N	362 606 885 0 331 916
C H V M	831 0 783 947
O T L K	1047 0 1015
S V F T	907 0 876
F E S F	422 668 914 0 391 945
I C O I	831 892 953 0 786 998
M G P	1057 0 1025
Y K T I	1014 0 980 1086
O K W R	1240 0 1207
P E R R	1236 0 1200 1302
M Q R T	1243 0 1210
C F O I	831 892 953 0 786 998
P C Y L	956 0 788 984
E E L C	435 0 369 471
I A L A	966 0 935
E O M V	422 693 963 0 391 994
E W A	422 696 970 0 391 1001
Q P U	345 0 314
G F I H	912 0 879
O N E	422 695 968 0 391 999
P U U Y	958 0 881 1035
M E T	422 667 911 0 391 942
H U E	594 798 968 0 562 999
F I I D	362 961 0 331 992
T T I	965 0 934
I D C	362 575 821 0 331 854
E I H	594 774 917 0 562 949
H T O N	875 0 842
L F E	422 695 968 0 391 999
H E G S	594 773 915 0 562 947
N V Q	910 0 879
Y K I	1014 0 980 1086
W E A	422 696 970 0 391 1001
N G D	362 961 0 331 992
L S D Q	362 638 914 0 331 945
S K O I	1046 0 1018
U S K S	1046 0 1015
K Q O I	1046 0 1018
Q F M H	912 0 879
P P W	936 0 905
D C E	417 0 330 462
A V M	918 0 887
P F G H	912 0 879
Q S F	910 0 879
R H L F	1241 0 1207
O H D	595 795 961 0 563 992
A M Y	958 0 881 1035
D P Q U	356 0 308 403
O U F	910 0 879
U I V	959 0 928
U U F D	362 961 0 331 992
P W R	1243 0 1210
K F C K	1041 0 1005 1107
R U A T	1243 0 1210
H T C R	895 1101 1248 0 865 1280
E M Q D	410 0 333 458
M I V P	1057 0 1025
K Y M W	1013 0 975 1086
G L H	912 0 879
E N E V	431 0 374 469
G H	912 0 879
P M I	965 0 934
K U M H	1044 0 1011
D Q H	595 774 917 0 563 949
G V O	962 0 931
V V Y G	982 0 927 1038
R K K	1238 0 1203
D N C	362 575 821 0 331 854
R I U	1243 0 1210
Y Q G E	422 680 967 0 391 990
M R W M	1243 0 1210
Q D M	362 922 0 331 953
K S Q Y	1014 0 972 1087
R K K W	1238 0 1203
Q O Q R	1243 0 1210
L T G Q	910 0 879
N V A	966 0 935
M A U	345 0 314
T K I Y	1014 0 972 1087
Q O A M	918 0 887
N L N R	1243 0 1210
U T O	962 0 931
P K V F	1046 0 1015
N G I S	912 0 881
K W G	1046 0 1017
K U U	1048 0 1015
F N N E	422 695 968 0 391 999
L H L	955 0 922
E R E H	592 767 919 0 559 952
F H Y	926 0 876 1033
D H U Q	595 772 913 0 563 945
F V U Q	910 0 879
F G V L	957 0 926
Y K R G	1046 1202 1228 0 1022 1278
P Q H O	960 0 927
W H M	916 0 883
Q G I	965 0 934
F S R	1243 0 1210
L W M I	965 0 934
D F E	410 0 333 458
E O K	896 0 859 1082
P S Y	958 0 881 1035
W V F L	957 0 926
F A K	1047 0 1015
P E N O	422 694 966 0 391 997
P A W D	362 961 0 331 992
F Q P W	936 0 905
A R H	1241 0 1207
D R U F	908 1096 1248 0 875 1280
I N K O	1046 0 1017
U Y C U	345 567 821 0 314 854
I U F P	1057 0 1025
P D T	362 637 911 0 331 942
W O F	910 0 879
M M U	345 0 314
S O C V	834 889 944 0 786 992
T W Y C	828 876 1001 0 785 1024
A P D	362 961 0 331 992
F P G E	422 695 968 0 391 999
S I A Q	910 0 879
K M M C	1030 0 988 1093
O O F F	910 0 879
I T Q	910 0 879
P D L	362 961 0 331 992
R G D D	373 662 963 0 353 995
W Q H M	916 0 883
K K L H	1056 0 1034
A D A F	362 638 914 0 331 945
L M N	877 0 846
I D I K	896 0 859 1082
K E I G	975 0 925 1079
K A I	1046 0 1018
V H W	934 0 901
F W L	957 0 926
Y Y N U	345 997 0 314 1017
E V O	422 694 966 0 391 997
S E Q F	422 668 914 0 391 945
T C T	863 0 788 938
S H N R	1241 0 1207
N L S	912 0 881
F I I I	965 0 934
U A Q F	910 0 879
L M Q	910 0 879
Q T M A	966 0 935
E L E G	431 0 374 469
C T Y	899 0 790 943
W I H	912 0 879
O C W	0 787 968
N F T	907 0 876
H R N	1241 0 1207
M L O M	918 0 887
D P K U	368 1054 0 347 1085
L R H D	953 1131 1247 0 919 1280
Y I F	959 0 883 1035
D T E F	410 0 333 458
H E M K	892 0 855 1081
N F U H	912 0 879
H K W H	1042 0 1008
K Q T R	1240 0 1207
I O D K	896 0 859 1082
E N N M	422 672 922 0 391 953
O P S	912 0 881
V I K K	1058 0 1037
Q Q G Q	910 0 879
F P S	912 0 881
M O A	966 0 935
R F A T	1243 0 1210
P G F L	957 0 926
N D P	362 1061 0 331 1092
R C G	954 1121 1248 0 922 1280
L K A	1046 0 1018
P Q H L	955 0 922
R G Y K	1048 1202 1228 0 1022 1278
R M V	1243 0 1210
H G E	594 798 968 0 562 999
V N L A	966 0 935
R V E Y	958 0 878 1038
K N Q A	1046 0 1018
R P E S	910 1097 1248 0 877 1280
F I D	362 961 0 331 992
D Y L T	362 621 915 0 331 944
W V G	957 0 926
D D A L	371 0 314 409
Q R V G	1243 0 1210
G Q M	918 0 887
M K K	1058 0 1037
D Y U P	362 1009 0 331 1034
P V V Y	958 0 881 1035
P S S	912 0 881
K O H	1044 0 1011
D R Q	908 1096 1248 0 875 1280
W Q O	962 0 931
O U	345 0 314
O P O	962 0 931
H U U	595 0 563
T C K	893 0 862 1082
Q A G P	1057 0 1025
C A I F	864 0 788 941
U V U C	818 922 1025 0 784 1059
Q L A N	877 0 846
Y R V	1004 1148 1245 0 980 1279
M A Q E	422 695 968 0 391 999
C W O D	362 575 822 0 331 854
N A H	912 0 879
A A Q	910 0 879
D T H	595 774 917 0 563 949
E F O M	422 672 922 0 391 953
S Q K	1047 0 1015
T D U	356 0 308 403
L S K	1047 0 1015
R W S W	1243 0 1210
S Q O	962 0 931
I Y U	345 1008 0 314 1039
G O Y K	1015 0 971 1087
S C O	832 890 948 0 786 995
H E R	897 1101 1248 0 863 1280
S C F N	848 0 787 909
I U H A	964 0 931
P R F Y	1000 1147 1245 0 971 1279
O C U	345 582 819 0 314 850
Y O D	362 962 0 331 985
V G A H	912 0 879
E Y S	422 654 920 0 391 949
I I G	957 0 926
F W G O	962 0 931
O F U D	362 961 0 331 992
I M V K	1047 0 1015
C M Q	864 0 788 941
A H G	955 0 922
O O C	818 922 1025 0 784 1059
Y W L C	828 876 1001 0 785 1024
N W A S	912 0 881
U A U R	1243 0 1210
D I H M	595 776 921 0 563 953
C Q T	863 0 788 938
K M E H	917 0 878 1079
I C F	864 0 788 941
U K T R	1240 0 1207
Q Y Q	959 0 883 1035
S O W	936 0 905
I T F	910 0 879
A K C	1030 0 988 1093
Y W V	983 0 928 1038
Q E L D	410 0 333 458
K I D A	985 0 934 1080
L W I Q	910 0 879
M P E W	422 681 940 0 391 971
L I P	1057 0 1025
S U V R	1243 0 1210
S O E L	422 692 961 0 391 992
Y A W	972 0 908 1035
Y A G S	960 0 885 1035
D N G C	362 575 821 0 331 854
U L F	910 0 879
F V C	818 922 1025 0 784 1059
H E A	594 799 970 0 562 1001
G M V I	965 0 934
Y I T D	362 962 0 331 985
M V D	362 961 0 331 992
R O S I	1243 0 1210
P T K	1047 0 1015
I R I N	1243 0 1210
G D P	362 1061 0 331 1092
R R Y	1236 0 1200 1302
Y M M H	933 0 882 1033
Y F F	959 0 883 1035
E G L H	594 774 917 0 562 949
P U Q	910 0 879
T R H Q	1241 0 1207
I L Q	910 0 879
T P S T	907 0 876
I H Y	926 0 876 1033
E S Q Q	422 668 914 0 391 945
U K N	1047 0 1015
T P E	422 695 968 0 391 999
I S Q Q	910 0 879
K V U I	1046 0 1018
R V I	1243 0 1210
H R O O	1241 0 1207
N O W G	957 0 926
Q V M R	1243 0 1210
G L O A	966 0 935
K L K	1058 0 1037
O D G F	362 638 914 0 331 945
S N F	910 0 879
F S U T	907 0 876
G A K A	1046 0 1018
K I P	1065 0 1045
W S C H	832 0 783 943
T P P	1057 0 1025
T O Q	910 0 879
A R U F	1243 0 1210
H P G Q	908 0 875
P Q O	962 0 931
A T S	912 0 881
L K C	1030 0 988 1093
H V A	964 0 931
U L R Y	1000 1147 1245 0 971 1279
R Y I K	1048 1202 1228 0 1022 1278
L G H P	1055 0 1022
W U Q G	957 0 926
I D W	362 940 0 331 971
H P Y L	970 0 924 1040
E M Q Q	422 668 914 0 391 945
K V A A	1046 0 1018
W N Q	910 0 879
S U C R	897 1091 1248 0 869 1280
W Y P	1032 0 975 1090
G S K	1047 0 1015
M E U	386 0 318 453
P P W O	962 0 931
C H R	895 1101 1248 0 865 1280
V D I T	362 637 911 0 331 942
V W C	818 922 1025 0 784 1059
T H L	955 0 922
C H Y	871 0 785 941
M F L P	1057 0 1025
Q N I O	962 0 931
K C M	923 0 885 1080
F V E	422 695 968 0 391 999
G M N H	912 0 879
T R S M	1243 0 1210
K P N W	1046 0 1015
L C N C	824 0 767 862
S M L W	936 0 905
A S A	966 0 935
F C T R	897 1091 1248 0 869 1280
W F R	1243 0 1210
Q N R	1243 0 1210
R T	1243 0 1210
K C D	835 881 949 0 783 992
F M R	1243 0 1210
O D W	362 940 0 331 971
A L N C	818 922 1025 0 784 1059
C M R I	962 1125 1247 0 930 1280
P K W N	1047 0 1015
H F A S	910 0 877
M D I	362 969 0 331 1000
D M S U	356 0 308 403
M N O C	818 922 1025 0 784 1059
N O S D	362 961 0 331 992
G N I F	910 0 879
P I U F	910 0 879
T L R	1243 0 1210
R E N R	1236 0 1200 1302
S U A	966 0 935
M Y O P	1032 0 975 1090
W G Y O	985 0 931 1039
A P H K	1045 0 1011
A E W K	896 0 859 1082
V Q R F	1243 0 1210
R T O	1243 0 1210
E Y C	422 596 823 0 391 857
G N P M	918 0 887
O V G	957 0 926
Q O A W	936 0 905
V P E	422 695 968 0 391 999
C T R	897 1091 1248 0 869 1280
G O M	918 0 887
C N W	0 787 968
M G I	965 0 934
V V F M	918 0 887
U U G	957 0 926
S W S D	362 961 0 331 992
P H T	905 0 872
H I V L	955 0 922
V E Q	422 668 914 0 391 945
V E U S	422 669 916 0 391 947
R S E R	1236 0 1200 1302
N G Y	958 0 881 1035
K Q S Q	1046 0 1015
F C H	832 0 783 943
O I H U	595 0 563
V K Y S	1014 0 972 1087
V E K F	917 0 877 1081
C S H	832 0 783 943
F H C	814 946 1022 0 781 1059
V T P M	918 0 887
K I V	1046 0 1017
F F N D	362 961 0 331 992
W K N	1047 0 1015
O K N	1047 0 1015
A I E	422 695 968 0 391 999
K G C	1030 0 988 1093
A I Q R	1243 0 1210
R S W	1243 0 1210
U E P C	422 605 821 0 391 854
U C P S	865 0 788 943
D Q O	362 966 0 331 997
R E Y	958 0 878 1038
O D P	362 1061 0 331 1092
K E L R	1046 1199 1228 0 1012 1278
H V M N	875 0 842
D C L R	860 0 785 935
S Q Q	910 0 879
S F K H	1044 0 1011
L H O V	957 0 924
D T Y C	362 566 823 0 331 857
F H H U	606 0 585
O P R	1243 0 1210
E V P	422 1061 0 391 1092
Y U N	913 942 972 0 849 1036
U C I	831 892 953 0 786 998
H C I	820 0 781 996
Q K R	1240 0 1207
F P H S	910 0 877
R O O W	1243 0 1210
Y P V	983 0 928 1038
F A U P	1057 0 1025
V E G N	422 652 881 0 391 912
F S K	1047 0 1015
V Y E R	955 0 871 1038
N P D	362 961 0 331 992
V K I S	1046 0 1015
I D A I	362 969 0 331 1000
I T D	362 961 0 331 992
Y V U	345 1008 0 314 1039
G Q I	965 0 934
G V M	918 0 887
A F Q	910 0 879
D P O S	362 639 916 0 331 947
A K T	1046 0 1015
S F K F	1046 0 1015
N A W	936 0 905
U S D Y	362 622 916 0 331 945
F F R	1243 0 1210
N D I	362 969 0 331 1000
M N F	910 0 879
Y P A	987 0 934 1040
Y G A W	972 0 908 1035
L C A N	848 0 787 909
O Y G L	982 0 927 1038
T Y W S	960 0 885 1035
O N Y	958 0 881 1035
V A N	877 0 846
U C A N	848 0 787 909
N G T L	957 0 926
Q T W I	965 0 934
L Q F G	957 0 926
P S U	345 0 314
I Q H F	908 0 875
I T R I	1243 0 1210
V P F D	362 961 0 331 992
V H T E	594 798 968 0 562 999
O O N Q	910 0 879
V G D Y	362 622 916 0 331 945
U L F M	918 0 887
I H H Y	917 0 872 1033
W Y W	972 0 908 1035
A I R L	1243 0 1210
H S H	910 0 876
R Q D C	816 922 1028 0 781 1063
P C E I	422 605 822 0 391 854
K S S	1046 0 1015
Q L P	1057 0 1025
K K P W	1058 0 1037
P O R H	1241 0 1207
N O D	362 961 0 331 992
R L Q K	1240 0 1207
C K U I	982 0 933 1080
E P S G	422 692 961 0 391 992
R L U K	1240 0 1207
P M R	1243 0 1210
Q N M Y	958 0 881 1035
Q C T N	848 0 787 909
I G G N	877 0 846
F E K O	981 0 930 1079
Q N M	918 0 887
S Y F F	959 0 883 1035
A W T T	907 0 876
W M D	362 961 0 331 992
V G V C	818 922 1025 0 784 1059
T Y Q G	982 0 927 1038
M I G K	1047 0 1015
A G R O	1243 0 1210
H S H R	1239 0 1204
W F C S	865 0 788 943
I A K	1047 0 1015
G D W	362 940 0 331 971
W P H O	960 0 927
U G R H	1241 0 1207
H G Y D	595 778 961 0 563 985
C R D G	834 888 942 0 783 993
T N S R	1243 0 1210
V F G	957 0 926
O V A E	422 695 968 0 391 999
P T E W	422 681 940 0 391 971
T V G L	957 0 926
V N U E	422 695 968 0 391 999
C K K	1041 0 1005 1107
N T H	912 0 879
K D R S	1046 1199 1228 0 1012 1278
T V K I	1046 0 1018
R V E P	1058 1183 1236 0 1023 1278
T D N	362 622 881 0 331 912
T G R W	1243 0 1210
I H Q	908 0 875
D C S M	362 575 823 0 331 853
F R I Y	1000 1147 1245 0 971 1279
F M R C	1024 1159 1243 0 990 1279
I S V C	818 922 1025 0 784 1059
T W H	912 0 879
C E C H	599 689 810 0 563 831
S Q I F	910 0 879
H V Q	908 0 875
G Q F	910 0 879
L O R N	1243 0 1210
C Q Y	899 0 790 943
E D C	417 0 330 462
S W D I	362 969 0 331 1000
N N V	959 0 928
G M Y A	987 0 934 1040
O H R G	1241 0 1207
A W L	957 0 926
H Q Q F	908 0 875
H G T	905 0 872
N L M	918 0 887
L S N N	877 0 846
Q W N M	918 0 887
K A Y U	1017 0 971 1087
F I T	907 0 876
M Y Q	959 0 883 1035
S D S	362 639 916 0 331 947
Q D U	356 0 308 403
H C T U	596 731 813 0 563 849
W S F	910 0 879
Q P N T	907 0 876
Y K C Y	990 0 881 1018
V S R I	1243 0 1210
P T G	957 0 926
Q Q H D	595 795 961 0 563 992
H A R G	1241 0 1207
E E V R	433 664 907 0 413 939
D M S Q	362 638 914 0 331 945
A D I	362 969 0 331 1000
A S H	912 0 879
N T V V	959 0 928
U F K	1047 0 1015
T S G L	957 0 926
T W P	1057 0 1025
R M H Q	1241 0 1207
E T R U	418 1249 0 391 1280
S C S	865 0 788 943
G Q A	966 0 935
N T O T	907 0 876
L U P R	1243 0 1210
N W N A	966 0 935
O I P P	1057 0 1025
K C U L	973 0 924 1079
G K M K	1058 0 1037
T R E	962 1124 1247 0 930 1280
L O U F	910 0 879
